basin,cnty_abbr,name,prelim_yn,county_name,site,state,latitude,longitude,aqs_id,qa_id,district,met_id,elevation,address,city,zip_code,ozone2002obs 
GBV,INY,Death Valley Natl Monument,N,Inyo,3151,CA,36.508809999999997,-116.84766999999999,060270101,14151,GBU,DTH01,127,Nevares Drive,Death Valley,92328,8158 
GBV,MNO,Mammoth Lakes-Gateway HC,N,Mono,2915,CA,37.645710000000001,-118.96651,060510001,26785,GBU,MTH03,2392,Gateway HC; Mammoth Lakes,Mammoth Lakes                   ,93546,2967 
LC ,LAK,Lakeport-Lakeport Blvd,N,Lake,2914,CA,39.033054,-122.921944,060333001,17713,LAK,LPT03,408,905 Lakeport Blvd.; Lakeport,Lakeport                        ,95463,8228 
LT ,ED,South Lake Tahoe-Sandy Way,N,El Dorado,2948,CA,38.944978999999996,-119.970609,060170011,09691,ED,SLT16,1905,3337 Sandy Way,South Lake Tahoe                ,96150,8274 
MC ,AMA,Jackson-Clinton Road,N,Amador,2993,CA,38.342606000000004,-120.764426,060050002,03614,AMA,JKS02,390,201 Clinton Road,Jackson                         ,95642,8180 
MC ,CAL,San Andreas-Gold Strike Road,N,Calaveras,3144,CA,38.20185,-120.680277,060090001,05633,CAL,SAD,300,501 Gold Strike Road,San Andreas,95249,8379 
MC ,ED,Cool-Highway 193,N,El Dorado,3196,CA,38.890940000000001,-121.00337,060170020,09693,ED,KUL01,473,1400 American River Trail,Cool,95614,4223 
MC ,ED,Echo Summit,N,El Dorado,3487,CA,38.811610000000002,-120.033084,060170012,09695,ED,ESM01,2250,21200 Hwy 50-Little Norway,Echo Summit,95721,8193 
MC ,ED,Placerville-Gold Nugget Way,N,El Dorado,3017,CA,38.725282,-120.821916,060170010,09690,ED,PLA04,612,3111 Gold Nugget Way,Placerville                     ,95667,5783 
MC ,MPA,Jerseydale - 6440 Jerseydale,N,Mariposa,3161,CA,37.543770000000002,-119.83956999999999,060430006,22744,MPA,JER01,1146,6440 Jerseydale Road,Jerseydale,95338,4227 
MC ,MPA,Yosemite National Park-Merced River,N,Mariposa,3664,CA,37.743056000000003,-119.593889,060430033,22747,MPA,,372,Merced River; Yosemite National Park,Yosemite National Park          ,95389,3383 
MC ,MPA,Yosemite Natl Park-Turtleback Dome,N,Mariposa,3018,CA,37.713135999999999,-119.70623500000001,060430003,22746,MPA,YOS03,1600,Turtleback Dome,Yosemite National Park          ,95389,8042 
